Time	Open	High	Low	Close	Volume
2017-08-04 04:00:00	144.648	144.923	144.535	144.878	28268	16
2017-08-04 08:00:00	144.878	144.89	144.581	144.713	29183	11
2017-08-04 12:00:00	144.715	145.301	144.338	144.366	61401	11
2017-08-04 16:00:00	144.365	144.508	144.228	144.374	29464	8
2017-08-04 20:00:00	144.374	144.439	144.23	144.266	4245	12
2017-08-06 20:00:00	144.328	144.621	144.286	144.557	14245	125
2017-08-07 00:00:00	144.558	144.618	144.407	144.536	23362	15
2017-08-07 04:00:00	144.535	144.63	144.387	144.57	23952	17
2017-08-07 08:00:00	144.569	144.716	144.48	144.626	32115	15
2017-08-07 12:00:00	144.623	144.681	144.183	144.207	37871	11
2017-08-07 16:00:00	144.206	144.364	144.189	144.318	19939	11
2017-08-07 20:00:00	144.316	144.408	144.262	144.378	14981	14
2017-08-08 00:00:00	144.377	144.464	144.294	144.326	22808	18
2017-08-08 04:00:00	144.326	144.385	144.104	144.222	23328	13
2017-08-08 08:00:00	144.222	144.259	143.584	143.688	26509	12
2017-08-08 12:00:00	143.686	143.719	143.29	143.567	44274	13
2017-08-08 16:00:00	143.573	143.599	143.182	143.348	34591	11
2017-08-08 20:00:00	143.345	143.43	142.97	142.987	16826	10
2017-08-09 00:00:00	142.988	143.039	142.467	142.611	29907	14
2017-08-09 04:00:00	142.61	143.346	142.606	142.915	30008	11
2017-08-09 08:00:00	142.916	143.034	142.497	142.571	35268	14
2017-08-09 12:00:00	142.572	143.079	142.273	143.032	51529	11
2017-08-09 16:00:00	143.031	143.051	142.795	143.03	28079	14
2017-08-09 20:00:00	143.032	143.23	142.911	143.176	18192	16
2017-08-10 00:00:00	143.172	143.336	142.896	142.947	28633	17
2017-08-10 04:00:00	142.945	142.97	142.504	142.613	26296	18
2017-08-10 08:00:00	142.612	142.821	142.534	142.749	33658	12
2017-08-10 12:00:00	142.75	142.759	141.869	141.933	52060	11
2017-08-10 16:00:00	141.934	141.964	141.64	141.706	34964	12
2017-08-10 20:00:00	141.703	141.818	141.539	141.577	17340	18
2017-08-11 00:00:00	141.57	141.652	141.385	141.598	26425	17
2017-08-11 04:00:00	141.598	141.866	141.468	141.609	29022	15
2017-08-11 08:00:00	141.611	141.797	141.254	141.613	32738	14
2017-08-11 12:00:00	141.614	141.809	141.312	141.641	64243	10
2017-08-11 16:00:00	141.64	142.019	141.59	141.971	47391	12
2017-08-11 20:00:00	141.966	142.074	141.905	142.013	12634	16
2017-08-13 20:00:00	141.634	142.1	141.627	142.083	12936	446
2017-08-14 00:00:00	142.088	142.562	142.022	142.543	38684	14
2017-08-14 04:00:00	142.544	142.737	142.408	142.642	38576	14
2017-08-14 08:00:00	142.641	142.646	142.185	142.185	39993	14
2017-08-14 12:00:00	142.186	142.343	141.925	142.045	54443	13
